MANAGER_PERSON_NUMBER;CONTEST_CODE;TOURNAMENT_CODE;CONTEST_DATE;PLAN_VALUE;FACT_VALUE;priority_type
00000000000001520555;01_2025-2_10-1_6;t_01_2025-2_10-1_6_2031;2025-08-27;0.00000;533053000.00000;1
00000000000001201405;01_2025-2_10-1_6;t_01_2025-2_10-1_6_2031;2025-08-27;0.00000;214126639.71000;1
00000000000001067773;01_2025-2_10-1_6;t_01_2025-2_10-1_6_2031;2025-08-27;0.00000;178124000.00000;1
00000000000000314443;01_2025-2_10-1_6;t_01_2025-2_10-1_6_2031;2025-08-27;0.00000;142194572.34000;1
00000000000001735156;01_2025-2_10-1_6;t_01_2025-2_10-1_6_2031;2025-08-27;0.00000;129265903.08000;1
00000000000001590809;01_2025-2_10-1_6;t_01_2025-2_10-1_6_2031;2025-08-27;0.00000;40000000.00000;1
00000000000000346189;01_2025-2_10-1_6;t_01_2025-2_10-1_6_2031;2025-08-27;0.00000;38341235.31000;1
00000000000000966458;01_2025-2_10-1_6;t_01_2025-2_10-1_6_2031;2025-08-27;0.00000;20599443.82000;1
00000000000001114468;01_2025-2_10-1_6;t_01_2025-2_10-1_6_2031;2025-08-27;0.00000;10924186.15000;1
00000000000001211491;01_2025-2_10-1_6;t_01_2025-2_10-1_6_2031;2025-08-27;0.00000;10301038.67000;1
91000700000000000000;01_2025-0_10-5_7;t_01_2025-0_10-5_7_4001;2025-08-21;0.00000;1.00000;1
91000440000000000000;01_2025-0_10-5_7;t_01_2025-0_10-5_7_4001;2025-08-21;0.00000;4.80000;1
91000160000000000000;01_2025-0_10-5_7;t_01_2025-0_10-5_7_4001;2025-08-21;0.00000;4.20000;1
91000180000000000000;01_2025-0_10-5_7;t_01_2025-0_10-5_7_4001;2025-08-21;0.00000;4.00000;1
91000380000000000000;01_2025-0_10-5_7;t_01_2025-0_10-5_7_4001;2025-08-21;0.00000;4.60000;1
91000400000000000000;01_2025-0_10-5_7;t_01_2025-0_10-5_7_4001;2025-08-21;0.00000;5.20000;1
91000550000000000000;01_2025-0_10-5_7;t_01_2025-0_10-5_7_4001;2025-08-21;0.00000;6.80000;1
91000520000000000000;01_2025-0_10-5_7;t_01_2025-0_10-5_7_4001;2025-08-21;0.00000;6.20000;1
91000130000000000000;01_2025-0_10-5_7;t_01_2025-0_10-5_7_4001;2025-08-21;0.00000;8.40000;1
